epoch,loss,lr,val_loss
0,0.00025328423362225294,1e-04,0.00024289547582156956
1,0.0002494043146725744,1e-04,0.0002500165719538927
2,0.00023755650909151882,1e-04,0.00020877807401120663
3,0.0002054355718428269,1e-04,0.000180465925950557
4,0.0001728216011542827,1e-04,0.00015395709488075227
5,0.00014500647375825793,1e-04,0.00013405214122030884
6,0.00012647472613025457,1e-04,0.00012480415171012282
7,0.00011487188749015331,1e-04,0.00010977903002640232
8,0.00010398324229754508,1e-04,0.00010196228686254472
9,9.572289127390832e-05,1e-04,9.486635099165142e-05
10,8.781707583693787e-05,1e-04,9.450732613913715e-05
11,8.274072752101347e-05,1e-04,8.521263225702569e-05
12,7.792437827447429e-05,1e-04,8.467233419651166e-05
13,7.30266619939357e-05,1e-04,8.289911056635901e-05
14,7.098728383425623e-05,1e-04,7.854153955122456e-05
15,6.628849951084703e-05,1e-04,7.73060237406753e-05
16,6.301880785031244e-05,1e-04,7.857376476749778e-05
17,5.9919035265920684e-05,1e-04,7.176879444159567e-05
18,5.769507333752699e-05,1e-04,7.341559103224427e-05
19,5.563116064877249e-05,1e-04,6.969969399506226e-05
20,5.298750693327747e-05,1e-04,7.431967969750986e-05
21,5.147634510649368e-05,1e-04,7.221770647447556e-05
22,4.95677231810987e-05,1e-04,6.8379427830223e-05
23,4.7637389798182994e-05,1e-04,6.79370277794078e-05
24,4.574085687636398e-05,1e-04,7.280744466697797e-05
25,4.372451439849101e-05,1e-04,6.60991354379803e-05
26,4.337869904702529e-05,1e-04,6.691110320389271e-05
27,4.198899841867387e-05,1e-04,6.648527050856501e-05
28,4.0834514948073775e-05,1e-04,6.42168233753182e-05
29,3.917907451977953e-05,1e-04,6.877345003886148e-05
30,3.851965448120609e-05,1e-04,6.894516991451383e-05
31,3.849319546134211e-05,1e-04,6.49864596198313e-05
32,3.574024231056683e-05,1e-04,6.407004548236728e-05
33,3.522343831718899e-05,1e-04,6.52115122647956e-05
34,2.9478314900188707e-05,5e-05,5.870126187801361e-05
35,2.8003185434499756e-05,5e-05,6.245406984817237e-05
36,2.7110008886666037e-05,5e-05,5.72645767533686e-05
37,2.646444772835821e-05,5e-05,5.739013067795895e-05
38,2.5840527086984366e-05,5e-05,5.527631947188638e-05
39,2.5580173314665444e-05,5e-05,5.693687126040459e-05
40,2.4897308321669698e-05,5e-05,5.8628818806027994e-05
41,2.4568336812080815e-05,5e-05,6.012530502630398e-05
42,2.4040091375354677e-05,5e-05,5.6822191254468635e-05
43,2.4147078875103034e-05,5e-05,5.821182639920153e-05
44,2.24156174226664e-05,2.5e-05,5.577027332037687e-05
45,2.1677278709830716e-05,2.5e-05,5.554424205911346e-05
46,2.1655825548805296e-05,2.5e-05,5.3335053962655365e-05
47,2.1118430595379323e-05,2.5e-05,5.717024760087952e-05
48,2.0819308701902628e-05,2.5e-05,5.630105079035275e-05
49,2.0805764506803825e-05,2.5e-05,5.592733941739425e-05
50,2.0574501832015812e-05,2.5e-05,5.4795607866253704e-05
51,2.0400138964760117e-05,2.5e-05,5.470669930218719e-05
52,1.9678112948895432e-05,1.25e-05,5.571627480094321e-05
53,1.9696848539751954e-05,1.25e-05,5.1701714255614206e-05
54,1.9581979358918034e-05,1.25e-05,5.369402060750872e-05
55,1.9443186829448678e-05,1.25e-05,5.5719010561006144e-05
56,1.9443761630100198e-05,1.25e-05,5.3891832067165524e-05
57,1.9025586880161427e-05,1.25e-05,5.376652188715525e-05
58,1.9212569895898923e-05,1.25e-05,5.497633901541121e-05
59,1.883428922155872e-05,6.25e-06,5.454831261886284e-05
60,1.8873783119488508e-05,6.25e-06,5.321356366039254e-05
61,1.870395317382645e-05,6.25e-06,5.4821201047161594e-05
62,1.868235267465934e-05,6.25e-06,5.374847387429327e-05
63,1.8537726646172814e-05,6.25e-06,5.359593342291191e-05
64,1.8727734641288407e-05,6.25e-06,5.246790897217579e-05
65,1.841261109802872e-05,6.25e-06,5.343969678506255e-05
66,1.8368798919254914e-05,3.125e-06,5.1811555749736726e-05
67,1.8679980712477118e-05,3.125e-06,5.225538552622311e-05
68,1.8614146028994583e-05,3.125e-06,5.1232578698545694e-05
69,1.8356704458710738e-05,3.125e-06,5.366912591853179e-05
70,1.8269791326019913e-05,3.125e-06,5.5407523177564144e-05
71,1.8333228581468575e-05,3.125e-06,5.222178515396081e-05
72,1.8230975911137648e-05,3.125e-06,5.416884960141033e-05
73,1.8139677194994874e-05,1.5625e-06,5.208014044910669e-05
74,1.8273056411999278e-05,1.5625e-06,5.5107404477894306e-05
75,1.8176098819822073e-05,1.5625e-06,5.5034641263773665e-05
76,1.821025762183126e-05,1.5625e-06,5.475242141983472e-05
77,1.8134527635993436e-05,1.5625e-06,5.1479568355716765e-05
78,1.829879875003826e-05,1.5625e-06,5.6068511185003445e-05
79,1.8301678210264072e-05,1.5625e-06,5.1731472922256216e-05
80,1.8151762560592033e-05,7.8125e-07,5.3849951655138284e-05
81,1.8109945813193917e-05,7.8125e-07,5.2441198931774125e-05
82,1.8404754882794805e-05,7.8125e-07,5.259157478576526e-05
83,1.7920927348313853e-05,7.8125e-07,5.2871520892949775e-05
84,1.8370246834820136e-05,7.8125e-07,5.5084576160879806e-05
85,1.8085767806041986e-05,7.8125e-07,5.272518319543451e-05
86,1.8210454072686844e-05,7.8125e-07,5.13777595188003e-05
87,1.811109177651815e-05,3.90625e-07,5.449177842820063e-05
88,1.793127739802003e-05,3.90625e-07,5.298565520206466e-05
